    Z Values    N Stable      N Drip
           1           4           6
           2           4           8
           3           4          10
           4           6          14
           5           8          16
           6           8          18
           7          10          20
           8          10          22
           9          12          24
          10          12          26
          11          14          28
          12          16          30
          13          16          34
          14          18          36
          15          20          38
          16          20          40
          17          22          42
          18          22          44
          19          24          46
          20          26          48
          21          26          50
          22          28          52
          23          30          54
          24          30          58
          25          32          60
          26          34          62
          27          34          64
          28          36          66
          29          38          68
          30          38          70
          31          40          72
          32          42          74
          33          42          76
          34          44          78
          35          46          80
          36          46          84
          37          48          86
          38          50          88
          39          50          90
          40          52          92
          41          54          94
          42          56          96
          43          56          98
          44          58         100
          45          60         102
          46          60         104
          47          62         108
          48          64         110
          49          64         112
          50          66         114
          51          68         116
          52          70         118
          53          70         120
          54          72         122
          55          74         124
          56          76         126
          57          76         128
          58          78         132
          59          80         134
          60          82         136
          61          82         138
          62          84         140
          63          86         142
          64          88         144
          65          88         146
          66          90         148
          67          92         150
          68          94         154
          69          94         156
          70          96         158
          71          98         160
          72         100         162
          73         100         164
          74         102         166
          75         104         168
          76         106         170
          77         108         172
          78         108         176
          79         110         178
          80         112         180
          81         114         182
          82         114         184
          83         116         186
          84         118         188
          85         120         190
          86         122         192
          87         122         196
          88         124         198
          89         126         200
          90         128         202
          91         130         204
          92         132         206
          93         132         208
          94         134         210
          95         136         212
          96         138         216
          97         140         218
          98         140         220
          99         142         222
         100         144         224
         101         146         226
         102         148         228
         103         150         230
         104         150         232
         105         152         236
         106         154         238
         107         156         240
         108         158         242
         109         160         244
         110         162         246
         111         162         248
         112         164         250
         113         166         254
         114         168         256
         115         170         258
         116         172         260
         117         174         262
         118         174         264
