     Protons     Neutrons     Experimental BE              Experimental Error            Theory BE                   Theory Error
           1           1  -2.2245520000000001        9.9999999999999995E-007   2.6878710841604123        7.4837270322688136E-007
           1           2  -8.4817809999999998        9.9999999999999995E-007  -11.047751447182888        5.5298415082783117E-007
           1           3  -6.8817820000000003       0.10000000000000001       -12.907388907786373        1.4725241952300356E-006
           1           4  -6.6817810000000000        8.9444999999999997E-002  -20.134569307836109        2.2543654518875780E-006
           1           5  -5.7698200000000002       0.25412400000000002       -18.820347935181729        3.0912191978077791E-006
           1           6  -6.5799859999999999        1.0009999999999999       -21.701528765570842        3.8210277355858485E-006
           2           1  -7.7179640000000003        9.9999999999999995E-007  -10.105024500829648        5.5626277732638185E-007
           2           2  -28.295584000000002        9.9999999999999995E-007  -21.591013041667495        4.4033985289280987E-007
           2           3  -27.560583999999999        2.0000000000000000E-002  -25.521948419259054        3.1052206652832720E-007
           2           4  -29.271038000000001        5.3999999999999998E-005  -34.501721198046866        8.4558638972299754E-007
           2           5  -28.861322999999999        7.5599999999999999E-003  -36.081474698942742        1.3936337821140359E-006
           2           6  -31.396083999999998        8.7999999999999998E-005  -41.219708472862834        2.0284905691225988E-006
           2           7  -30.141257000000000        4.6817999999999999E-002  -40.477915278688201        2.6429992222144212E-006
           2           8  -29.951263999999998        9.2850000000000002E-002  -42.830174586313916        3.2511169741244677E-006
           3           1  -4.6148410000000002       0.21213199999999999       -10.337816086332030        1.4805139297467890E-006
           3           2  -26.330461000000000        5.0000000000000003E-002  -23.931695017230069        3.1667497060794182E-007
           3           3  -31.993787000000001        9.9999999999999995E-007  -30.937749617104764        3.7766076312712103E-007
           3           4  -39.244874000000003        6.9999999999999999E-006  -42.205297812298909        2.4076255994772395E-007
           3           5  -41.277496999999997        4.8000000000000001E-005  -46.709878561342016        6.1344852542700262E-007
           3           6  -45.339713000000003        1.8900000000000001E-004  -54.203569681159777        9.7028772613499820E-007
           3           7  -45.313310999999999        1.2720000000000000E-002  -56.087159454378259        1.4774456276926265E-006
           3           8  -45.708992000000002        6.1600000000000001E-004  -60.602824721278630        1.9590406499301042E-006
           3           9  -45.499001000000000        3.0012000000000000E-002  -60.442078479154830        2.4828455357021135E-006
           3          10  -45.598990999999998        7.0004999999999998E-002  -62.717466705961300        2.9765042608428359E-006
           4           1  -8.9603000000000002E-002   2.0049999999999999       -15.363809101749162        2.2694283604136462E-006
           4           2  -26.923085000000000        5.4479999999999997E-003  -30.760506832147119        8.5751947059182981E-007
           4           3  -37.600439000000001        6.9999999999999994E-005  -40.072998105639336        2.4910061908514618E-007
           4           4  -56.499082999999999        3.1999999999999999E-005  -53.033616259024789        2.9610081195232998E-007
           4           5  -58.163615000000000        8.1000000000000004E-005  -59.759096168619251        2.1718447348803226E-007
           4           6  -64.975903000000002        8.0000000000000007E-005  -69.076983999226286        4.4846072908323229E-007
           4           7  -65.477542999999997        2.4200000000000000E-004  -73.065114045918818        7.2539817463809143E-007
           4           8  -68.648267000000004        1.9080000000000000E-003  -79.351397420167316        1.1137740264533031E-006
           4           9  -68.138257999999993        1.0179000000000001E-002  -81.112284852466189        1.5190047357595623E-006
           4          10  -69.914160999999993       0.13224400000000000       -85.027981162827388        1.9508379334783418E-006
           4          11  -68.114153000000002       0.16579500000000000       -85.038775722436696        2.3859217386589529E-006
           4          12  -68.564162999999994       0.16579199999999999       -87.097442471562388        2.8223359665043212E-006
           5           1   2.8026759999999999        2.0040000000000000       -11.337919203382228        3.1146344028975994E-006
           5           2  -24.910259000000000        2.5151000000000000E-002  -29.684575578964012        1.4147558493274947E-006
           5           3  -37.736564000000001        1.0000000000000000E-003  -41.951112194808907        6.2932264518224352E-007
           5           4  -56.312953999999998        8.9999999999999998E-004  -57.144494741066595        2.2688395981476906E-007
           5           5  -64.750153999999995        2.0000000000000002E-005  -66.370647997148026        3.0849372129431619E-007
           5           6  -76.204375999999996        1.1000000000000000E-005  -77.767864255585422        2.0929798720071876E-007
           5           7  -79.573999999999998        1.3200000000000000E-003  -84.007606508418732        3.9732166716057301E-007
           5           8  -84.452770999999998        1.0009999999999999E-003  -92.219006944357204        5.6906590426299819E-007
           5           9  -85.422340000000005        2.1210000000000000E-002  -96.005126147827141        8.9758383858344330E-007
           5          10  -88.199099000000004        2.1030000000000000E-002  -101.67793433740677        1.2152298362557356E-006
           5          11  -88.116156000000004        2.4576000000000001E-002  -103.50530907416916        1.5932069214731971E-006
           5          12  -89.583663000000001       0.20410200000000001       -107.15695571678290        1.9576264527658155E-006
           5          13  -89.578664000000003       0.20415600000000000       -107.41553255119865        2.3501925852838586E-006
           5          14  -89.672370000000001       0.52536899999999997       -109.43891210552476        2.7268826016355563E-006
           5          15  -89.059324000000004       0.80000000000000004       -108.42598760711445        3.1175233193028069E-006
           5          16  -88.262324000000007       0.90300000000000002       -109.11825595559360        3.4912502351315721E-006
           6           2  -24.811146999999998        1.8239999999999999E-002  -31.702175739796616        2.0589182673691261E-006
           6           3  -39.035761999999998        2.1329999999999999E-003  -46.359765398501807        9.9733797725077319E-007
           6           4  -60.319375000000001        6.9999999999999994E-005  -63.397151671853450        4.6781776842321987E-007
           6           5  -73.439971000000000        5.5000000000000002E-005  -74.711075350278449        2.1976256033223576E-007
           6           6  -92.160683000000006        9.9999999999999995E-007  -87.867817243761976        2.5791163114870505E-007
           6           7  -97.106992000000005        9.9999999999999995E-007  -96.037632981634317        2.0735158520780783E-007
           6           8  -105.28342100000000        9.9999999999999995E-007  -105.91980512182592        3.1456137364934640E-007
           6           9  -106.50149000000000        7.9500000000000003E-004  -111.48431660112036        4.6264415535188084E-007
           6          10  -110.75181900000000        3.5839999999999999E-003  -118.71703084790857        7.1578819126455341E-007
           6          11  -111.48536300000001        1.7357000000000001E-002  -122.17274372434359        9.9446889802537225E-007
           6          12  -115.66931300000000        3.0006000000000001E-002  -127.26586946734932        1.3079429513265211E-006
           6          13  -116.24614200000001        9.8381999999999997E-002  -129.01101432391602        1.6345425352750708E-006
           6          14  -119.22765500000000       0.23061999999999999       -132.36020427615560        1.9723632080947664E-006
           6          15  -119.15295500000001       0.58799999999999997       -132.70417744874655        2.3163796686728088E-006
           6          16  -119.26264900000000       0.23148400000000000       -134.61434003566302        2.6610668293013503E-006
           6          17  -116.76995500000000       0.98899999999999999       -133.79692985100144        3.0078750408693842E-006
           7           3  -36.435209000000000       0.40000000000000002       -44.727494799632595        1.5150930725554251E-006
           7           4  -59.002994999999999        4.6156000000000003E-002  -63.894747329997912        7.5827632177949634E-007
           7           5  -74.039796999999993        9.9599999999999992E-004  -77.474918126344150        4.1926883603004075E-007
           7           6  -94.103707999999997        2.7300000000000002E-004  -92.568162964297571        2.1819304760791791E-007
           7           7  -104.65708500000000        9.9999999999999995E-007  -102.78415543007492        2.8414233632774442E-007
           7           8  -115.49038899999999        9.9999999999999995E-007  -114.45792251357749        2.0782756256425685E-007
           7           9  -117.97922500000000        2.3040000000000001E-003  -121.88715225257654        3.1244342097586404E-007
           7          10  -123.86438200000001        1.4994000000000000E-002  -130.77318361403431        3.8706156673952609E-007
           7          11  -126.69260500000000        1.8575999999999999E-002  -135.92966316148863        6.1226370004579990E-007
           7          12  -132.02080599999999        1.6396999999999998E-002  -142.54363428716761        8.2767640514845978E-007
           7          13  -134.18190899999999        7.8899999999999998E-002  -145.84085902626828        1.1099119595536523E-006
           7          14  -138.78780399999999       0.13404300000000000       -150.58727861533092        1.3831229509055703E-006
           7          15  -140.32623699999999       0.20779000000000000       -152.34970068212485        1.6913485493701121E-006
           7          16  -143.44192200000001       0.42057800000000001       -155.54403911285550        1.9895836697998955E-006
           7          17  -141.28648899999999       0.40799999999999997       -156.02583010214258        2.3081923223983783E-006
           7          18  -140.32348900000000       0.50000000000000000       -157.91554544120552        2.6157415269997266E-006
           8           4  -58.680345000000003        2.4000000000000000E-002  -66.286020656018138        1.1579969594001990E-006
           8           5  -75.550839999999994        9.5289999999999993E-003  -81.810596892346936        6.0758122395491306E-007
           8           6  -98.729812999999993        2.8000000000000000E-005  -98.586039727322969        3.3946387988352867E-007
           8           7  -111.95330100000000        4.9500000000000000E-004  -110.59875207477812        2.1877490775339971E-007
           8           8  -127.61721700000000        9.9999999999999995E-007  -123.86112882837713        2.4456761209375637E-007
           8           9  -131.76029700000001        9.9999999999999995E-007  -132.95827538585513        2.0935953454777498E-007
           8          10  -139.80566700000000        9.9999999999999995E-007  -143.33540829246891        2.5709150250523258E-007
           8          11  -143.76132600000000        2.6410000000000001E-003  -150.03677199527957        3.3194803051317248E-007
           8          12  -151.36932100000001        8.8000000000000003E-004  -158.04209027915962        5.0033519394364666E-007
           8          13  -155.17477500000001        1.1991000000000000E-002  -162.76755945534674        6.9781537685739925E-007
           8          14  -162.02508300000000        5.6913999999999999E-002  -168.80776044236563        9.3180425472773830E-007
           8          15  -164.75807599999999       0.12171600000000000       -171.88991059900559        1.1824922298420284E-006
           8          16  -168.95036099999999       0.16488000000000000       -176.28562323506367        1.4480731009337429E-006
           8          17  -168.19304600000001       0.16507500000000000       -177.98761859823236        1.7239615270690065E-006
           8          18  -168.93234899999999       0.16494400000000001       -180.99291392768416        2.0048782332511700E-006
           8          19  -166.99292100000000       0.51300000000000001       -181.52428358542571        2.2920402838382852E-006
           8          20  -167.66192100000001       0.69999999999999996       -183.34227992128845        2.5788401579426944E-006
           9           5  -73.990156999999996        4.1118000000000002E-002  -81.337595358821247        9.4863917086748690E-007
           9           6  -97.459130000000002        1.3995000000000000E-002  -99.906805284722253        5.0644867152135564E-007
           9           7  -111.41694099999999        8.3199999999999993E-003  -113.79350503510632        3.3798609552597813E-007
           9           8  -128.21682100000001        2.5500000000000002E-004  -128.72801903980596        2.2020312311187984E-007
           9           9  -137.36672899999999        4.6799999999999999E-004  -139.55461020143787        2.7310641937928687E-007
